Variável,Média,Mediana,Moda,Mínimo,Máximo,Amplitude,Variância,Desvio padrão,Q1,Q2,Q3,P10,P90
Quantidade de veículos na residência,1.47,1.0,1.0,0.0,8.0,8.0,1.2213131313131314,1.1051303684693183,1.0,1.0,2.0,0.0,2.0
Quantidade de recargas por semana,2.285,2.0,2.0,0.0,7.0,7.0,1.4356313131313128,1.1981783311057301,2.0,2.0,3.0,1.0,3.0
