Medida,Valor
Media,154.58
Mediana,62.0
Moda,450.0
Maximo,5000.0
Minimo,5.3
Amplitude,4994.7
Variancia,83624.0
Desvio_Padrao,289.18
Coeficiente_de_Variacao,187.07
Primeiro_Quartil,40.0
Segundo_Quartil,62.0
Terceiro_Quartil,183.5
