Medida,Valor
Media,65.59
Mediana,60.5
Moda,"46, 49"
Maximo,117
Minimo,3
Amplitude,114
Variancia,690.05
Desvio_Padrao,26.27
Coeficiente_de_Variacao,40.05
Primeiro_Quartil,48.5
Segundo_Quartil,60.5
Terceiro_Quartil,88.5
